1328,4643,flowsicK,0.89,0.87,0.63,0.72,0.15
1331,4643,Xp3,0.93,0.91,0.65,0.71,0.12
1337,2963,Grt,0.7,0.64,0.48,0.76,0.09
1341,3692,jstone,0.92,0.92,0.67,0.73,0.2
1343,4645,pauLy,0.9,0.88,0.67,0.77,0.16
1357,,speqt,0.89,0.87,0.63,0.72,0.14
1358,6105,discoRd,1.04,1.05,0.77,0.73,0.19
1374,3569,NoxeL,0.82,0.7,0.64,0.91,0.05
1378,4576,zehN,1.15,1.18,0.78,0.66,0.17
1386,,Krutoi,0.75,0.7,0.54,0.78,0.12
1394,6319,xone,0.78,0.74,0.58,0.78,0.18
1422,3464,yes,0.77,0.75,0.52,0.7,0.22
1427,4971,godlike,1.02,1.07,0.71,0.67,0.19
1429,,skippii,0.74,0.69,0.5,0.72,0.13
1431,,dalito,0.74,0.72,0.54,0.76,0.12
1432,,beN,0.63,0.62,0.5,0.81,0.0
1436,5196,kiM,0.76,0.76,0.48,0.63,0.13
1441,2562,Type,0.9,0.9,0.62,0.69,0.11
1453,2757,othiss,0.82,0.77,0.59,0.77,0.11
1465,6295,XpQRz,0.9,0.88,0.67,0.76,0.14
1468,2779,rufus,1.13,1.06,0.73,0.69,0.08
1480,4606,phnien,0.84,0.84,0.59,0.71,0.14
1481,,yakin,0.82,0.79,0.56,0.71,0.12
1485,5422,RUBINO,1.01,1.02,0.7,0.68,0.13
1510,6536,Gina,0.86,0.85,0.63,0.74,0.17
1523,6748,layla,0.66,0.6,0.51,0.86,0.12
1524,4587,kathi,1.03,1.07,0.69,0.64,0.15
1527,4677,antonia,1.03,1.06,0.69,0.65,0.17
1544,4813,Llo,1.01,0.96,0.73,0.76,0.14
1554,6576,uno,0.84,0.82,0.58,0.7,0.15
1556,6838,zaider,0.91,0.92,0.67,0.73,0.11
1558,,iZee,1.09,1.17,0.74,0.63,0.18
1560,4811,MiTsu,1.22,1.32,0.82,0.62,0.18
1561,,RiTTa,1.01,1.07,0.68,0.64,0.17
1572,6871,vilga,0.98,0.99,0.68,0.68,0.12
1573,6532,Candy,1.09,1.03,0.78,0.76,0.17
1583,6241,HaySS,0.85,0.82,0.59,0.72,0.16
1603,6876,fliCkat,1.14,1.15,0.79,0.69,0.19
1618,6041,Faith,0.9,0.91,0.61,0.68,0.16
1619,4587,sTani,0.83,0.77,0.6,0.78,0.13
1632,4589,Maiuska,0.86,0.81,0.64,0.78,0.2
1638,6748,HellRose,0.87,0.83,0.64,0.77,0.18
1646,6871,zAAz,1.16,1.17,0.82,0.7,0.14
1648,6536,Julie,0.99,0.99,0.7,0.71,0.15
1649,4811,iRene,0.95,0.97,0.64,0.66,0.15
1651,4813,Exilia,0.84,0.78,0.54,0.69,0.17
1657,6749,Nasty,0.94,0.95,0.64,0.67,0.17
1658,,TORKA,0.81,0.78,0.54,0.69,0.17
1659,,SaAku,1.09,1.11,0.74,0.67,0.12
1660,,Leeya,0.77,0.76,0.58,0.76,0.16
1669,5595,suraNga,0.83,0.76,0.62,0.81,0.11
1672,,StiG,0.93,0.92,0.65,0.71,0.16
1702,302,caard,0.67,0.64,0.44,0.69,0.31
1715,6963,faken,0.94,0.72,0.65,0.9,0.0
1736,75,kemistry,0.51,0.53,0.47,0.89,0.05
1753,,Murdy,0.87,0.84,0.61,0.72,0.0
1764,6129,spinner,0.75,0.71,0.53,0.75,0.19
1768,6388,mICROVAN,1.26,1.32,0.84,0.64,0.15
1774,6843,pRAIER,1.05,0.95,0.68,0.71,0.11
1800,665,gcko,0.72,0.66,0.53,0.8,0.07
1820,4589,jance.,0.82,0.8,0.59,0.73,0.15
1821,6083,KiTTy-KaT,0.89,0.88,0.59,0.67,0.14
1829,,Friza,0.87,0.84,0.58,0.69,0.0
1831,2864,TAY,0.66,0.51,0.4,0.78,0.11
1832,4828,krischjo,0.86,0.84,0.62,0.73,0.17
1854,4538,sonamed,1.13,1.21,0.78,0.64,0.0
1865,7145,dastan,0.81,0.79,0.54,0.69,0.14
1866,,Shara,0.89,0.88,0.62,0.71,0.15
1868,4908,spaz,1.02,1.03,0.72,0.7,0.14
1879,3233,sacron,0.45,0.42,0.39,0.95,0.16
1882,4626,Garff,0.75,0.73,0.48,0.66,0.16
1883,7157,glace,1.02,1.04,0.7,0.67,0.15
1889,,LOMME,0.95,0.96,0.65,0.67,0.15
1896,6077,bimmer,0.72,0.66,0.54,0.82,0.13
1910,6319,Syndicate,0.67,0.63,0.5,0.79,0.11
1911,6077,DAKSCH,1.0,0.93,0.73,0.79,0.15
1912,6068,hyaluronic,0.9,0.9,0.6,0.67,0.16
1915,5996,SEMPHIS,1.03,1.04,0.73,0.7,0.14
1916,6680,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",0.88,0.88,0.6,0.68,0.14
1923,,n0swal,0.91,0.87,0.66,0.76,0.14
1925,7106,a2z,0.88,0.86,0.61,0.7,0.11
1940,,sLip,0.85,0.83,0.6,0.73,0.13
1943,,ali,0.98,1.02,0.69,0.68,0.1
1944,6242,bENITA,1.0,1.01,0.69,0.68,0.15
1946,6242,missharvey,1.01,1.03,0.68,0.66,0.18
1947,6242,potter,1.15,1.18,0.79,0.67,0.17
1948,,IpSa,1.05,1.12,0.7,0.63,0.16
1950,7020,kibaken,0.94,0.95,0.64,0.68,0.14
1959,,PineKone,0.6,0.55,0.46,0.83,0.17
1964,7331,Twista,0.86,0.85,0.59,0.7,0.16
1978,6880,eliza,0.61,0.58,0.51,0.88,0.12
1982,4587,Aidy,0.8,0.74,0.57,0.78,0.21
1988,,pixl,0.74,0.61,0.49,0.8,0.07
1997,204,simcore,0.76,0.73,0.46,0.64,0.12
2000,204,n1ck,0.93,0.98,0.52,0.53,0.13
2003,7270,insanity,1.33,1.52,0.93,0.61,0.2
